,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class,sales_channel,response
1070,,13350.1209,college,female,28919,173,0.0,personal auto,830.4,suv,agent,
1071,oregon,11274.91011,college,male,0,114,0.0,personal auto,820.8,four-door car,branch,no
1072,oregon,7285.030983,high school or below,male,44788,61,0.0,personal auto,386.031248,four-door car,agent,yes
1073,nevada,13918.5348,high school or below,male,64113,117,0.0,special auto,561.6,four-door car,agent,no
1074,nevada,9048.983447,high school or below,male,0,119,0.0,personal auto,571.2,sports car,web,yes
1075,oregon,2453.570794,bachelor,male,29735,69,0.0,personal auto,331.2,,agent,yes
1076,nevada,4387.31087,master,male,48015,110,,corporate auto,528.0,sports car,call center,no
1077,nevada,7142.54905,college,female,24417,185,0.0,personal auto,888.0,suv,call center,no
1078,nevada,5340.810309,college,female,0,72,0.0,personal auto,345.6,,web,no
1079,nevada,29091.23936,bachelor,female,34226,244,,personal auto,494.395024,luxury suv,agent,no
1080,oregon,2893.313855,bachelor,female,30406,73,,personal auto,350.4,four-door car,web,no
1081,oregon,9672.701942,high school or below,male,0,96,0.0,corporate auto,1120.677126,four-door car,agent,no
1082,washington,3403.919366,college,male,38460,88,1.0,personal auto,91.55098,four-door car,agent,no
1083,nevada,4019.384424,college,male,0,118,0.0,personal auto,566.4,suv,branch,no
1084,oregon,12168.74492,bachelor,male,14973,115,0.0,personal auto,828.0,suv,branch,yes
1085,arizona,10571.5377,bachelor,female,94137,65,0.0,personal auto,43.579327,four-door car,web,no
1086,washington,4935.189986,high school or below,male,29560,62,0.0,personal auto,297.6,four-door car,agent,no
1087,oregon,11323.35555,master,male,98254,94,3.0,corporate auto,229.711908,four-door car,agent,no
1088,,4576.759564,master,female,48569,114,0.0,personal auto,434.7579,four-door car,agent,
1089,arizona,4175.945269,bachelor,male,23060,109,3.0,corporate auto,731.350857,suv,agent,no
1090,oregon,13235.54436,college,male,39778,112,0.0,personal auto,806.4,suv,call center,no
1091,california,2585.955652,college,female,83758,64,0.0,corporate auto,106.591949,two-door car,agent,no
1092,oregon,3435.25008,bachelor,female,64348,86,0.0,personal auto,212.391975,two-door car,call center,no
1093,california,8376.332294,college,female,26448,105,0.0,personal auto,75.330276,sports car,agent,no
1094,oregon,4510.194071,college,male,44230,114,0.0,personal auto,738.222494,sports car,web,no
1095,arizona,35022.45478,bachelor,female,25270,99,0.0,personal auto,712.8,two-door car,agent,no
1096,california,7986.191274,bachelor,male,74217,100,,personal auto,418.005524,suv,branch,no
1097,oregon,7716.997859,college,female,37376,99,0.0,personal auto,65.548725,four-door car,branch,no
1098,oregon,2731.39917,master,female,43386,68,,personal auto,315.353519,two-door car,call center,no
1099,arizona,3694.140498,bachelor,male,96170,92,0.0,personal auto,441.6,four-door car,call center,no
1100,oregon,5261.037541,high school or below,female,43573,66,0.0,personal auto,409.684798,two-door car,agent,no
1101,oregon,9486.596417,bachelor,female,42240,79,0.0,personal auto,46.386546,four-door car,agent,no
1102,oregon,3687.169374,master,female,0,99,1.0,corporate auto,378.261483,four-door car,agent,no
1103,,4373.35826,college,female,25676,113,0.0,personal auto,542.4,two-door car,web,
1104,arizona,23747.46699,college,male,0,96,4.0,personal auto,460.8,four-door car,agent,no
1105,arizona,3618.686938,high school or below,male,50755,91,0.0,personal auto,436.8,two-door car,agent,no
1106,california,30205.01297,college,male,0,89,0.0,personal auto,469.359715,four-door car,agent,no
1107,california,5583.575264,college,male,76927,138,0.0,personal auto,114.743547,suv,branch,no
1108,oregon,4841.057535,college,female,23449,61,0.0,corporate auto,292.8,four-door car,web,no
1109,california,5461.548993,high school or below,female,39626,69,0.0,personal auto,485.705851,,agent,no
1110,arizona,8838.085637,bachelor,male,82664,114,3.0,corporate auto,133.425609,suv,agent,yes
1111,california,5586.893159,doctor,female,94161,69,0.0,personal auto,108.989737,four-door car,agent,no
1112,,7840.165778,college,male,58414,210,2.0,personal auto,1008.0,luxury suv,agent,
1113,oregon,6685.069081,doctor,male,56270,83,0.0,personal auto,398.4,four-door car,branch,no
1114,oregon,2682.912454,bachelor,male,0,74,0.0,corporate auto,355.2,two-door car,agent,no
1115,california,2272.30731,master,male,0,64,0.0,corporate auto,286.124652,four-door car,agent,no
1116,oregon,2839.013244,bachelor,male,0,81,0.0,personal auto,388.8,two-door car,branch,no
1117,washington,5029.296953,bachelor,male,40113,67,3.0,corporate auto,262.047663,two-door car,branch,no
1118,california,13432.00289,bachelor,female,68956,118,2.0,personal auto,118.538444,suv,call center,no
1119,california,7879.928952,doctor,female,45703,98,0.0,personal auto,470.4,two-door car,agent,no
1120,oregon,6846.150323,bachelor,female,0,95,0.0,personal auto,456.0,two-door car,call center,yes
1121,washington,8286.964421,bachelor,female,40001,70,,personal auto,142.567008,four-door car,branch,no
1122,washington,12298.6863,high school or below,male,17101,113,0.0,corporate auto,542.4,suv,call center,yes
1123,arizona,9275.681452,bachelor,female,52494,119,0.0,corporate auto,571.2,two-door car,agent,no
1124,california,5618.485357,college,female,24518,74,0.0,personal auto,241.656325,two-door car,call center,no
1125,california,3237.500928,college,female,27982,87,0.0,personal auto,14.743099,two-door car,call center,no
1126,oregon,2552.913868,college,male,33124,67,0.0,personal auto,80.119997,four-door car,call center,no
1127,oregon,2404.917967,bachelor,male,63455,61,0.0,personal auto,287.654819,,branch,no
1128,arizona,10208.92761,college,female,35482,129,0.0,personal auto,619.2,suv,branch,yes
1129,california,2518.743544,doctor,female,39317,64,0.0,personal auto,77.695607,four-door car,branch,no
1130,nevada,7573.345057,high school or below,male,0,110,0.0,corporate auto,1193.036154,,agent,no
1131,,7398.873941,bachelor,male,27383,188,0.0,corporate auto,902.4,luxury car,branch,
1132,oregon,5595.389905,high school or below,female,74454,71,0.0,personal auto,340.8,four-door car,call center,yes
1133,,6678.899026,bachelor,female,47137,84,0.0,personal auto,161.640052,four-door car,agent,
1135,arizona,7282.967586,high school or below,male,40858,184,0.0,personal auto,883.2,,agent,no
1136,california,5048.226244,high school or below,female,29401,65,0.0,personal auto,312.0,four-door car,branch,no
1137,oregon,9830.337629,college,female,25965,253,0.0,personal auto,1214.4,luxury suv,agent,no
1138,nevada,10883.78785,high school or below,female,91123,138,3.0,corporate auto,103.462381,suv,agent,no
1139,arizona,2792.009458,college,male,22426,76,1.0,corporate auto,528.391284,four-door car,branch,no
1140,california,73225.95652,bachelor,female,39547,202,0.0,personal auto,969.6,luxury suv,branch,no
1141,arizona,11160.07706,bachelor,female,33232,94,0.0,special auto,435.527845,four-door car,branch,no
1142,california,15014.0927,college,male,32961,190,0.0,corporate auto,912.0,suv,branch,no
1143,oregon,6978.719808,high school or below,male,53808,88,0.0,personal auto,189.835063,four-door car,branch,no
1144,california,6273.911874,college,female,18577,86,0.0,personal auto,412.8,four-door car,branch,yes
1145,oregon,7481.825592,college,male,61783,94,0.0,personal auto,658.125874,four-door car,branch,no
1146,oregon,5394.913017,bachelor,female,29853,69,0.0,personal auto,76.586018,four-door car,agent,no
1147,california,2722.210707,college,female,17576,71,0.0,corporate auto,398.502948,four-door car,call center,yes
1148,oregon,23984.62144,doctor,female,79655,296,0.0,personal auto,498.159874,luxury car,branch,no
1149,oregon,2451.535793,bachelor,male,48791,62,3.0,personal auto,69.794432,two-door car,call center,no
1150,california,4971.727892,master,male,49161,63,2.0,personal auto,171.746945,two-door car,branch,no
1151,california,7455.361568,high school or below,female,74089,94,2.0,personal auto,648.690215,,agent,no
1152,arizona,7329.777554,college,male,59630,185,0.0,personal auto,888.0,suv,agent,no
1153,arizona,22103.5072,college,male,0,102,0.0,personal auto,489.6,suv,branch,yes
1154,nevada,8560.162384,high school or below,female,28120,112,0.0,personal auto,537.6,suv,web,no
1155,california,3885.456401,college,male,0,105,0.0,personal auto,504.0,four-door car,branch,yes
1156,,4379.770178,college,female,47747,111,0.0,personal auto,165.588524,two-door car,web,
1157,arizona,17029.89338,master,male,54613,213,0.0,personal auto,731.559007,luxury suv,call center,no
1158,washington,20725.37773,bachelor,male,15529,273,0.0,personal auto,1965.6,luxury suv,branch,no
1159,oregon,2776.317884,bachelor,female,0,79,0.0,personal auto,509.028102,,branch,no
1160,california,2682.704812,high school or below,female,63471,67,0.0,personal auto,387.71779,two-door car,agent,no
1161,california,2907.898828,college,female,51020,73,0.0,personal auto,350.4,,branch,no
1162,oregon,11473.48149,high school or below,female,66538,95,0.0,personal auto,317.844812,two-door car,agent,no
1163,arizona,58207.12842,high school or below,male,29295,219,0.0,personal auto,1328.839129,,agent,no
1164,california,26576.31541,bachelor,male,87002,110,0.0,personal auto,199.851173,two-door car,call center,no
1165,california,11633.57855,bachelor,female,39669,98,0.0,personal auto,492.935479,two-door car,agent,no
1166,washington,2365.348601,bachelor,female,0,66,2.0,special auto,159.636956,four-door car,branch,no
1167,california,4170.687348,master,female,29462,107,1.0,personal auto,513.6,suv,branch,yes
1168,,5200.076742,bachelor,female,90167,131,0.0,corporate auto,523.733793,suv,web,
1169,arizona,2254.931708,bachelor,female,0,65,0.0,corporate auto,312.0,four-door car,agent,no
1170,oregon,13024.13012,master,male,0,125,0.0,personal auto,900.0,suv,agent,yes
1171,oregon,2959.819985,bachelor,female,69746,74,,personal auto,225.032781,four-door car,call center,no
1172,california,5243.538258,master,female,44851,66,,corporate auto,439.762045,,web,no
1173,california,8082.880956,college,male,53554,67,0.0,personal auto,327.020539,four-door car,agent,no
1174,oregon,4541.26342,high school or below,female,0,65,2.0,special auto,312.0,four-door car,agent,no
1175,,5123.484988,bachelor,female,72096,64,0.0,personal auto,252.330905,two-door car,agent,
1176,arizona,9234.277026,college,female,0,134,0.0,corporate auto,643.2,suv,branch,no
1177,arizona,13770.97618,high school or below,female,59207,116,0.0,personal auto,556.8,four-door car,agent,yes
1178,california,39561.07502,college,male,60500,110,0.0,personal auto,770.475631,sports car,branch,no
1179,california,8613.464627,master,female,26680,106,0.0,personal auto,508.8,two-door car,agent,no
1180,arizona,5453.861203,college,male,30855,68,0.0,corporate auto,259.060862,four-door car,web,no
1181,california,8845.073706,high school or below,female,95850,109,0.0,corporate auto,328.502498,sports car,agent,no
1182,washington,8021.067105,college,female,54292,67,0.0,personal auto,321.6,four-door car,agent,no
1183,oregon,2454.589361,bachelor,female,0,72,0.0,personal auto,518.4,two-door car,branch,no
1184,arizona,9247.464417,high school or below,female,97030,76,0.0,corporate auto,416.637499,four-door car,call center,no
1185,california,13110.54899,high school or below,male,73597,114,,personal auto,485.183645,,agent,no
1186,oregon,10979.09559,bachelor,female,94827,135,0.0,personal auto,354.729129,suv,agent,no
1187,,10388.55323,bachelor,female,61222,89,0.0,special auto,392.604371,four-door car,branch,
1188,oregon,14962.37103,high school or below,female,0,82,0.0,personal auto,393.6,four-door car,agent,no
1189,oregon,9752.698201,college,female,37345,82,0.0,personal auto,31.652079,four-door car,agent,no
1190,california,5505.167392,college,female,15648,73,1.0,special auto,413.269261,two-door car,agent,no
1191,nevada,14741.76092,bachelor,female,0,139,1.0,personal auto,667.2,suv,call center,no
1192,arizona,2258.793954,high school or below,male,0,65,0.0,personal auto,625.483498,four-door car,agent,no
1193,oregon,2795.321353,college,male,0,74,0.0,personal auto,420.765993,two-door car,call center,no
1194,oregon,8692.282356,college,female,31986,111,0.0,personal auto,532.8,four-door car,branch,no
1195,california,4171.300175,bachelor,female,36723,106,1.0,personal auto,580.091966,suv,agent,no
1196,oregon,8256.2978,bachelor,female,62902,69,0.0,personal auto,159.383042,two-door car,web,yes
1197,,10083.48688,high school or below,female,11828,90,0.0,corporate auto,571.479602,four-door car,agent,
1198,washington,13759.14695,bachelor,female,16794,96,0.0,personal auto,460.8,four-door car,branch,no
1199,california,7292.397562,high school or below,male,0,68,0.0,personal auto,415.986454,two-door car,branch,no
1200,california,6310.400194,high school or below,male,79880,79,1.0,personal auto,568.8,two-door car,branch,no
1201,california,2478.235474,college,female,24186,64,0.0,personal auto,307.2,four-door car,agent,no
1202,nevada,4423.690041,high school or below,female,0,125,0.0,personal auto,900.0,,agent,no
1203,,5557.934118,high school or below,female,83576,69,0.0,personal auto,331.2,two-door car,web,
1204,california,8658.863813,college,male,62464,109,,corporate auto,400.181882,sports car,agent,yes
1205,california,2615.911934,master,male,0,71,,personal auto,340.8,two-door car,agent,no
1206,nevada,5439.3601,high school or below,female,69186,69,0.0,personal auto,192.591072,four-door car,agent,no
1207,california,10737.68425,high school or below,male,50607,137,0.0,personal auto,657.6,suv,agent,no
1208,oregon,14318.44839,bachelor,male,22697,186,1.0,corporate auto,892.8,luxury suv,web,no
1209,california,4743.694528,bachelor,female,83413,118,0.0,personal auto,134.801691,suv,web,no
1210,,4929.8075,high school or below,female,0,70,0.0,personal auto,837.438442,,call center,
1211,arizona,7196.721128,high school or below,male,0,107,0.0,personal auto,770.4,suv,web,no
1212,nevada,5448.555219,bachelor,male,85296,68,0.0,personal auto,342.515136,four-door car,web,no
1213,california,2907.43603,high school or below,female,52216,72,1.0,personal auto,362.026936,four-door car,web,no
1214,california,30118.6554,high school or below,male,68906,187,,personal auto,1053.300143,sports car,web,no
1215,,2224.768,college,male,0,68,0.0,personal auto,326.4,four-door car,web,
1216,oregon,3055.70113,high school or below,female,42406,77,0.0,corporate auto,108.871857,four-door car,call center,no
1217,oregon,5365.54161,bachelor,female,77095,68,1.0,personal auto,461.841879,four-door car,agent,no
1218,oregon,8287.679305,bachelor,female,81367,103,0.0,special auto,415.768941,suv,branch,no
1219,nevada,5953.352957,bachelor,male,20283,77,0.0,personal auto,369.6,two-door car,branch,no
1220,oregon,6964.051797,college,female,0,95,1.0,corporate auto,629.647822,four-door car,web,no
1221,california,11302.60169,doctor,female,22361,95,0.0,personal auto,530.667993,four-door car,agent,no
1222,california,7647.451823,high school or below,male,91512,189,0.0,personal auto,907.2,luxury car,branch,no
1223,arizona,9209.41167,high school or below,female,31365,115,0.0,special auto,828.0,suv,call center,no
1224,california,2611.836866,college,male,0,77,0.0,corporate auto,369.6,two-door car,call center,no
1225,nevada,5158.648497,high school or below,female,0,74,0.0,personal auto,588.936956,two-door car,agent,no
1226,oregon,9551.167226,high school or below,female,57016,119,0.0,personal auto,341.868399,suv,agent,no
1227,,2980.010499,college,female,13535,80,1.0,personal auto,384.0,four-door car,agent,
1228,california,19872.262,high school or below,male,0,185,0.0,personal auto,1950.725547,,agent,no
1229,oregon,2452.059049,college,female,30216,63,0.0,corporate auto,302.4,four-door car,call center,no
1230,oregon,37939.48817,high school or below,female,20587,106,0.0,personal auto,363.77598,suv,agent,no
1231,oregon,5568.947534,high school or below,male,0,79,1.0,personal auto,407.440238,two-door car,agent,yes
1232,nevada,4369.71794,master,male,88495,108,,personal auto,535.926948,two-door car,branch,no
1233,california,8996.774075,high school or below,male,49706,113,0.0,personal auto,617.515196,suv,call center,no
1234,california,8595.726399,college,male,76763,108,0.0,personal auto,186.459607,suv,web,no
1235,oregon,5476.527832,master,female,52218,68,0.0,corporate auto,33.781673,four-door car,call center,no
1236,,4001.519098,high school or below,female,19782,108,0.0,personal auto,773.470977,two-door car,web,
1237,arizona,2454.58354,college,male,23158,63,1.0,personal auto,322.294043,four-door car,call center,no
1238,california,3451.25106,high school or below,male,45609,87,0.0,corporate auto,246.515921,two-door car,agent,no
1239,arizona,9837.507586,high school or below,female,55099,122,,corporate auto,260.265417,sports car,branch,no
1240,nevada,8591.305411,bachelor,male,0,128,0.0,corporate auto,1448.994134,suv,branch,no
1241,arizona,5427.484591,high school or below,female,74561,68,1.0,personal auto,234.393625,two-door car,web,no
1242,washington,2442.212317,college,female,0,69,0.0,corporate auto,331.2,four-door car,branch,no
1243,nevada,4945.072236,high school or below,female,78796,61,0.0,personal auto,292.8,two-door car,call center,no
1244,california,8355.774443,college,female,64502,70,0.0,personal auto,39.336222,two-door car,call center,no
1245,california,2841.443088,bachelor,female,30473,72,0.0,corporate auto,450.080101,four-door car,call center,no
1246,nevada,2674.07551,master,female,68787,66,0.0,personal auto,105.379402,four-door car,call center,no
1247,california,22332.43946,college,male,49078,97,0.0,corporate auto,484.013411,four-door car,branch,yes
1248,arizona,26453.93512,college,male,42961,83,0.0,personal auto,398.4,four-door car,web,no
1249,oregon,15000.84238,high school or below,female,62473,76,1.0,personal auto,507.560729,four-door car,branch,no
1250,california,2810.464447,bachelor,male,26790,71,0.0,personal auto,340.8,two-door car,agent,yes
1251,california,4815.009736,bachelor,female,25398,64,0.0,corporate auto,307.2,four-door car,agent,no
1252,oregon,6347.497519,bachelor,male,42259,81,0.0,personal auto,529.502964,two-door car,call center,no
1253,california,4140.648654,college,female,0,123,2.0,corporate auto,590.4,suv,branch,no
1254,oregon,3746.751625,college,female,41479,94,1.0,personal auto,19.575683,two-door car,call center,yes
1255,,4853.534204,bachelor,female,0,65,0.0,personal auto,468.0,four-door car,web,
1256,nevada,3702.63121,doctor,male,33738,95,0.0,personal auto,541.755353,two-door car,agent,no
1257,oregon,5130.823951,master,male,12940,68,0.0,personal auto,268.1726,two-door car,agent,no
1258,arizona,2483.642397,college,female,50632,62,0.0,corporate auto,54.961039,two-door car,agent,no
1259,,6121.107929,college,female,26787,77,0.0,personal auto,369.6,four-door car,branch,
1260,california,8044.73072,master,male,44320,67,0.0,personal auto,321.6,four-door car,call center,no
1261,arizona,10388.55323,bachelor,female,61222,89,0.0,special auto,392.604371,,branch,no
1262,nevada,6288.156817,high school or below,male,0,84,0.0,special auto,403.2,two-door car,web,no
1263,arizona,6686.128629,high school or below,male,22244,84,0.0,personal auto,114.815893,four-door car,web,no
1264,,7540.390159,bachelor,female,0,68,0.0,personal auto,519.757811,two-door car,branch,
1265,arizona,8716.368952,bachelor,female,28743,112,0.0,personal auto,537.6,suv,call center,no
1266,arizona,10382.38098,master,female,32821,129,0.0,personal auto,25.89566,suv,branch,no
1267,oregon,2491.317024,doctor,male,36631,62,0.0,personal auto,67.530904,four-door car,agent,yes
1268,arizona,25830.90982,bachelor,female,73760,107,1.0,personal auto,230.245772,sports car,web,no
1269,arizona,5421.04863,master,female,29981,71,0.0,corporate auto,340.8,two-door car,agent,no
1270,california,21172.38983,high school or below,male,0,82,0.0,personal auto,588.269018,four-door car,branch,no
1271,oregon,2563.582441,high school or below,female,0,69,0.0,corporate auto,331.2,four-door car,agent,no
1272,oregon,4863.266809,bachelor,male,0,70,0.0,corporate auto,646.785442,four-door car,agent,no
1273,california,5745.95924,bachelor,female,51335,71,0.0,personal auto,171.685669,four-door car,branch,no
1274,california,3873.647046,college,male,28142,105,0.0,personal auto,701.708239,sports car,agent,yes
1275,california,7444.939419,bachelor,male,0,114,0.0,personal auto,863.861736,four-door car,branch,no
1276,arizona,25807.063,college,female,71210,214,1.0,corporate auto,1027.2,luxury car,branch,yes
1277,california,7957.630101,high school or below,male,51125,67,0.0,personal auto,430.29174,four-door car,agent,no
1278,california,18321.24471,college,female,76726,65,0.0,personal auto,10.36741,,branch,no
1279,oregon,4105.580991,bachelor,male,39492,105,0.0,personal auto,756.0,suv,agent,no
1280,california,8742.472473,high school or below,female,37224,74,0.0,personal auto,355.2,,agent,no
1281,oregon,5392.499539,doctor,male,0,74,0.0,corporate auto,317.109447,two-door car,agent,no
1282,california,12280.76661,college,male,88340,102,0.0,personal auto,489.6,two-door car,branch,yes
1283,california,41787.90343,high school or below,female,46587,119,2.0,personal auto,571.2,,call center,yes
1284,,7153.208425,bachelor,female,32238,91,0.0,personal auto,439.781453,four-door car,branch,
1285,oregon,4118.588554,bachelor,female,69379,103,0.0,corporate auto,494.4,two-door car,branch,yes
1286,arizona,7854.960831,college,male,25378,66,1.0,personal auto,419.464143,four-door car,agent,no
1287,california,4330.38602,college,male,60475,107,0.0,personal auto,513.6,four-door car,branch,yes
1288,nevada,4041.241758,bachelor,male,23818,104,1.0,personal auto,499.2,suv,branch,no
1289,nevada,5741.696078,master,female,45820,71,0.0,corporate auto,249.742856,four-door car,branch,no
1290,nevada,3436.134281,doctor,male,30817,88,0.0,personal auto,91.834668,four-door car,branch,yes
1291,washington,4883.335068,college,female,40171,123,0.0,personal auto,576.880144,suv,call center,no
1292,nevada,2389.774148,college,male,58652,64,5.0,personal auto,307.2,four-door car,agent,no
1293,arizona,1898.683686,college,female,0,70,5.0,personal auto,702.020904,two-door car,agent,no
1294,california,12067.45599,college,male,0,116,0.0,personal auto,1284.093173,suv,agent,no
1295,,5761.317533,college,female,83392,71,0.0,personal auto,125.961938,four-door car,web,
1296,oregon,3893.305281,college,male,26605,100,0.0,personal auto,933.330936,suv,call center,no
1297,oregon,2827.55957,college,female,0,79,0.0,special auto,568.8,four-door car,branch,no
1298,oregon,11700.6441,high school or below,male,0,169,0.0,personal auto,1312.201307,sports car,branch,no
1299,california,2620.392335,college,male,24721,67,0.0,personal auto,139.963594,four-door car,branch,no
1300,california,2821.448707,college,male,0,81,0.0,personal auto,583.2,four-door car,call center,no
1301,california,4949.389491,bachelor,female,0,134,0.0,corporate auto,964.8,sports car,branch,no
1302,nevada,5220.280968,doctor,female,0,69,0.0,personal auto,331.2,four-door car,agent,no
1303,washington,12282.84085,bachelor,female,36328,155,0.0,corporate auto,388.148089,suv,agent,no
1304,california,4467.705159,college,male,0,64,0.0,corporate auto,307.2,,call center,no
1305,oregon,4108.257228,high school or below,male,0,114,0.0,personal auto,820.8,suv,web,no
1306,oregon,2746.080105,high school or below,female,0,74,0.0,personal auto,355.2,four-door car,branch,no
1307,oregon,5003.336664,doctor,female,0,66,1.0,personal auto,445.19869,four-door car,agent,no
1308,california,4398.047053,high school or below,female,0,62,0.0,personal auto,382.067564,four-door car,agent,no
1309,oregon,8139.996817,master,male,0,108,0.0,personal auto,518.4,sports car,branch,no
1310,california,7486.088015,bachelor,male,0,113,0.0,personal auto,813.6,suv,call center,no
1311,california,4823.558028,college,female,58946,121,0.0,personal auto,486.720776,suv,agent,no
1312,california,22062.54841,college,male,0,225,0.0,corporate auto,1620.0,luxury car,agent,no
1313,,9233.19066,high school or below,female,42600,115,0.0,personal auto,660.136987,sports car,branch,
1314,california,4929.549699,bachelor,male,25632,63,0.0,personal auto,351.270869,two-door car,call center,yes
1315,oregon,4031.539471,college,female,0,117,0.0,personal auto,842.4,four-door car,web,no
1316,arizona,4786.889347,college,male,45515,61,0.0,personal auto,236.907007,two-door car,call center,no
1317,oregon,5162.370678,high school or below,female,0,74,0.0,personal auto,582.420512,four-door car,agent,no
1318,washington,3288.6575,college,male,0,97,0.0,personal auto,1026.315988,four-door car,call center,no
1319,california,32104.69957,high school or below,female,89546,266,1.0,corporate auto,2452.894264,luxury suv,agent,no
1320,california,11747.65373,bachelor,female,58658,74,0.0,personal auto,355.2,two-door car,call center,no
1321,california,5780.182197,high school or below,male,51066,74,0.0,personal auto,787.993313,,call center,yes
1322,california,5639.402141,college,male,24636,77,0.0,personal auto,480.925301,two-door car,agent,no
1323,,6511.467626,master,male,42602,85,3.0,personal auto,63.161647,two-door car,agent,
1324,arizona,13094.60875,bachelor,female,88249,108,0.0,personal auto,244.803741,suv,agent,no
1325,,7806.137458,college,male,23706,68,1.0,corporate auto,326.4,four-door car,web,
1326,oregon,5943.07303,high school or below,female,62120,74,0.0,corporate auto,28.31732,four-door car,agent,no
1327,washington,7602.663689,high school or below,female,0,105,0.0,personal auto,914.538629,suv,web,no
1328,nevada,2086.610957,high school or below,male,0,62,0.0,personal auto,446.4,two-door car,web,no
1329,arizona,7302.775082,master,male,30492,61,0.0,personal auto,171.38289,four-door car,branch,no
1330,california,3399.125502,high school or below,male,28928,87,1.0,personal auto,192.644347,four-door car,agent,no
1331,california,4849.697945,college,female,36413,61,0.0,personal auto,153.013115,four-door car,branch,no
1332,washington,7173.909404,bachelor,male,75217,61,1.0,personal auto,147.080303,four-door car,branch,no
1333,oregon,4605.036646,college,female,22571,63,0.0,corporate auto,302.4,,web,yes
1334,,4250.282624,high school or below,female,0,61,1.0,personal auto,292.8,four-door car,agent,
1335,california,13466.92071,high school or below,female,11432,119,0.0,corporate auto,571.2,suv,agent,yes
1336,arizona,22103.5072,college,male,0,102,0.0,corporate auto,489.6,suv,branch,yes
1337,arizona,11972.78231,bachelor,male,0,186,2.0,personal auto,1441.843837,luxury suv,web,no
1338,nevada,7232.609391,high school or below,male,46621,61,0.0,corporate auto,30.448249,four-door car,branch,no
1339,oregon,8193.555045,bachelor,male,54950,103,0.0,corporate auto,480.578584,,web,no
1340,oregon,2685.901421,college,female,58166,67,0.0,personal auto,91.914969,four-door car,call center,no
1341,arizona,5504.139033,bachelor,female,0,73,,corporate auto,350.4,four-door car,call center,yes
1342,washington,8176.576796,bachelor,male,67137,111,5.0,personal auto,314.880326,suv,agent,no
1343,nevada,4130.628776,college,female,28321,111,0.0,corporate auto,537.391704,suv,branch,no
1344,,6943.741598,high school or below,female,0,76,5.0,special auto,547.2,four-door car,agent,
1345,california,6272.416823,college,male,76673,80,1.0,personal auto,56.082107,four-door car,branch,no
1346,nevada,43290.49543,college,male,23203,132,,personal auto,1158.79311,suv,agent,no
1347,washington,4745.181764,high school or below,male,50549,61,0.0,personal auto,292.8,four-door car,agent,no
1348,california,5584.961718,high school or below,female,19724,72,0.0,personal auto,345.6,four-door car,agent,no
1349,arizona,23594.6802,bachelor,male,76358,66,0.0,special auto,86.461582,four-door car,agent,yes
1350,california,18680.99387,college,female,74640,66,0.0,corporate auto,375.514273,four-door car,branch,no
1351,oregon,5918.066128,doctor,female,77521,73,0.0,personal auto,350.4,two-door car,call center,no
1353,california,2913.475108,high school or below,female,76638,73,1.0,personal auto,435.189747,four-door car,agent,no
1354,arizona,4127.495254,college,female,0,119,3.0,personal auto,856.8,sports car,web,no
1355,oregon,4666.643522,bachelor,male,60466,117,0.0,personal auto,784.186389,four-door car,agent,no
1356,arizona,3061.799398,college,male,88362,78,,personal auto,452.599718,two-door car,call center,no
1357,,9591.028253,bachelor,female,0,128,0.0,corporate auto,150.952506,suv,call center,
1358,oregon,13171.01282,college,male,21513,119,1.0,personal auto,679.827592,two-door car,branch,no
1359,arizona,7600.034998,high school or below,female,0,70,0.0,personal auto,504.0,four-door car,agent,no
1360,california,5067.635525,bachelor,female,61067,64,1.0,personal auto,86.309744,four-door car,agent,no
1361,california,10498.92645,bachelor,male,30352,89,0.0,personal auto,146.110685,four-door car,web,no
1362,arizona,12504.49422,college,male,33746,106,0.0,personal auto,508.8,two-door car,call center,no
1363,california,9135.291575,college,female,95330,113,0.0,corporate auto,542.4,sports car,branch,no
1364,washington,3288.6575,college,male,0,97,0.0,personal auto,1026.315988,,call center,no
1365,california,27542.36956,doctor,female,50494,114,0.0,personal auto,491.322893,two-door car,call center,no
1366,california,3683.472334,bachelor,male,12454,100,0.0,personal auto,720.0,sports car,web,no
1367,,2708.019336,high school or below,male,53807,68,0.0,personal auto,63.760358,two-door car,web,
1368,california,13220.80421,college,male,29504,117,0.0,personal auto,809.039071,suv,branch,no
1369,nevada,13916.93446,college,female,52423,119,1.0,corporate auto,571.2,four-door car,web,no
1370,california,2248.449633,bachelor,female,24910,63,1.0,corporate auto,347.857619,four-door car,branch,yes
1371,california,4872.01638,master,male,0,64,0.0,personal auto,307.2,four-door car,agent,no
1372,oregon,4872.774396,high school or below,male,69247,61,1.0,corporate auto,226.522147,two-door car,agent,no
1373,arizona,3570.760509,bachelor,female,56168,88,0.0,personal auto,614.675906,four-door car,branch,no
1374,california,3450.328786,high school or below,male,39248,87,0.0,personal auto,386.765125,four-door car,agent,no
1375,arizona,8092.87696,college,male,50825,102,0.0,personal auto,369.614729,suv,agent,yes
1376,california,7822.304151,bachelor,female,33963,99,0.0,corporate auto,222.626234,four-door car,web,no
1377,oregon,4499.493252,high school or below,female,16969,124,2.0,personal auto,704.768111,,call center,no
1378,california,2580.849899,college,male,46900,66,0.0,corporate auto,316.8,four-door car,web,yes
